x,y,z,label,model
-0.410847,-2.150307,-0.635968,1,fossil1
0.154904,2.28359,0.156402,1,fossil1
-0.002161,-1.915596,0.348962,1,fossil1
-0.124533,1.382562,-1.10612,1,fossil1
0.38344,-0.636783,1.246231,1,fossil1
-0.400373,-0.008298,-1.724733,1,fossil1
0.384684,1.297703,1.729231,1,fossil1
-0.590172,-1.954039,-1.170874,1,fossil1
0.392989,2.180989,0.721935,1,fossil1
-0.230212,-2.17813,-0.195675,1,fossil1
0.011897,1.953645,-0.762817,1,fossil1
0.221667,-1.197564,0.975711,1,fossil1
-0.353587,0.674826,-1.680476,1,fossil1
0.474322,0.251904,1.627398,1,fossil1
-0.48522,-0.951429,-1.660789,1,fossil1
0.489136,1.725888,1.352097,1,fossil1
-0.38118,-2.073403,-1.236686,1,fossil1
0.291433,2.306064,0.563628,1,fossil1
-0.105332,-2.131833,-0.029161,1,fossil1
0.019237,2.079682,-0.913085,1,fossil1
0.240995,-1.248277,1.002424,1,fossil1
-0.392327,0.747468,-1.702423,1,fossil1
0.501331,0.282332,1.583253,1,fossil1
-0.501729,-1.01528,-1.652128,1,fossil1
0.478524,1.753437,1.424955,1,fossil1
-0.394816,0.168172,-1.025412,1,fossil1
-0.068354,-0.166751,-0.157654,1,fossil1
-0.090955,-0.003389,0.01731,1,fossil1
-0.003968,-0.007001,-0.029418,1,fossil1
-0.017762,-0.014111,-0.033061,1,fossil1
0.027214,0.162559,-0.076647,1,fossil1
0.264477,-0.970344,0.526391,1,fossil1
0.410785,-0.64697,1.283902,1,fossil1
-0.103296,1.920513,-0.569445,1,fossil1
0.139431,-2.0337,0.324029,1,fossil1
-0.299439,1.319039,-0.728478,1,fossil1
0.417014,-0.719954,1.30189,1,fossil1
-0.463948,-0.13866,-1.745642,1,fossil1
0.498194,1.330013,1.547122,1,fossil1
-0.483745,-1.896066,-1.168329,1,fossil1
0.379827,2.267856,0.665917,1,fossil1
-0.117842,-2.17493,0.000181,1,fossil1
-0.011824,1.94488,-0.722819,1,fossil1
0.285005,-1.096848,1.331538,1,fossil1
-0.497224,-0.08131,-1.430654,1,fossil1
0.663265,0.815802,1.474198,1,fossil1
-0.431003,-1.469565,-1.678585,1,fossil1
0.355627,2.244299,1.119518,1,fossil1
-0.308225,-2.382128,-0.524097,1,fossil1
0.018195,2.255414,0.150548,1,fossil1
0.140294,-1.654117,0.639141,1,fossil1
-0.508959,0.523334,-0.828669,1,fossil1
0.56498,-0.020386,1.440255,1,fossil1
-0.420764,-0.683095,-1.745951,1,fossil1
0.532464,1.679302,1.31255,1,fossil1
-0.441968,-2.25917,-1.231487,1,fossil1
0.22865,2.199558,0.489239,1,fossil1
-0.067454,-2.169029,0.186652,1,fossil1
-0.269464,1.090204,-0.627451,1,fossil1
0.440366,-0.791384,1.263906,1,fossil1
-0.293537,0.176566,-1.716821,1,fossil1
0.419045,1.058924,1.728968,1,fossil1
-0.50231,-1.872178,-1.406929,1,fossil1
0.341326,2.090911,1.008537,1,fossil1
-0.243594,-2.277054,-0.325244,1,fossil1
0.021514,1.702021,-0.285072,1,fossil1
0.272074,-1.364049,0.805043,1,fossil1
-0.334939,0.768369,-1.730799,1,fossil1
0.53751,0.396323,1.642151,1,fossil1
-0.606848,-1.489846,-1.450111,1,fossil1
0.523299,1.749994,1.198115,1,fossil1
-0.436081,-2.223031,-0.740154,1,fossil1
0.185002,2.285758,0.339314,1,fossil1
-0.025359,-2.093489,0.232771,1,fossil1
-0.311926,1.617078,-0.323999,1,fossil1
0.192012,-1.065384,1.229248,1,fossil1
-0.546118,0.138398,-1.327379,1,fossil1
0.45686,0.355589,1.620667,1,fossil1
-0.607276,-1.35764,-1.524128,1,fossil1
0.491676,1.81957,1.39168,1,fossil1
-0.383665,-2.13996,-1.318786,1,fossil1
0.383629,2.3795,0.525627,1,fossil1
-0.074822,-2.196091,-0.162006,1,fossil1
0.076773,1.727366,-0.52724,1,fossil1
0.257426,-1.585808,0.817886,1,fossil1
-0.601519,0.411463,-0.603995,1,fossil1
0.412971,-0.329188,1.635616,1,fossil1
-0.521828,-0.215969,-1.818781,1,fossil1
0.563809,0.991054,1.506536,1,fossil1
-0.432503,-1.407174,-1.589738,1,fossil1
0.602622,1.654646,1.117523,1,fossil1
-0.420732,-2.24294,-0.768278,1,fossil1
